id_servicios,id_cuenta,codigo,descripcion_servicio
"24554","9523",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24555","9523",S11,BASURA RESIDENCIAL R3
"24556","9523",S19,MANT. PARQUES Y ZONAS VERDES
"24557","9523",S20,LIMPIEZA DE VIAS
"24558","9524",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24559","9524",S11,BASURA RESIDENCIAL R3
"24560","9524",S19,MANT. PARQUES Y ZONAS VERDES
"24561","9524",S20,LIMPIEZA DE VIAS
"24562","9525",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24563","9525",S19,MANT. PARQUES Y ZONAS VERDES
"24564","9525",S20,LIMPIEZA DE VIAS
"24565","9525",S11,BASURA RESIDENCIAL R3
"24566","9526",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24567","9527",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24568","9527",S11,BASURA RESIDENCIAL R3
"24569","9527",S19,MANT. PARQUES Y ZONAS VERDES
"24570","9527",S20,LIMPIEZA DE VIAS
"24571","9528",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24572","9528",S11,BASURA RESIDENCIAL R3
"24573","9528",S19,MANT. PARQUES Y ZONAS VERDES
"24574","9528",S20,LIMPIEZA DE VIAS
"24575","9529",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24576","9529",S11,BASURA RESIDENCIAL R3
"24577","9529",S19,MANT. PARQUES Y ZONAS VERDES
"24578","9529",S20,LIMPIEZA DE VIAS
"24579","9530",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24580","9530",S11,BASURA RESIDENCIAL R3
"24581","9530",S19,MANT. PARQUES Y ZONAS VERDES
"24582","9530",S20,LIMPIEZA DE VIAS
"24583","9531",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24584","9531",S11,BASURA RESIDENCIAL R3
"24585","9531",S19,MANT. PARQUES Y ZONAS VERDES
"24586","9531",S20,LIMPIEZA DE VIAS
"24587","9532",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24588","9532",S11,BASURA RESIDENCIAL R3
"24589","9532",S19,MANT. PARQUES Y ZONAS VERDES
"24590","9532",S20,LIMPIEZA DE VIAS
"24591","9534",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24592","9534",S11,BASURA RESIDENCIAL R3
"24593","9534",S19,MANT. PARQUES Y ZONAS VERDES
"24594","9534",S20,LIMPIEZA DE VIAS
"24596","9538",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24597","9538",S11,BASURA RESIDENCIAL R3
"24598","9538",S19,MANT. PARQUES Y ZONAS VERDES
"24599","9538",S20,LIMPIEZA DE VIAS
"24600","9539",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24601","9539",S11,BASURA RESIDENCIAL R3
"24602","9539",S19,MANT. PARQUES Y ZONAS VERDES
"24603","9539",S20,LIMPIEZA DE VIAS
"24604","9540",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24605","9540",S11,BASURA RESIDENCIAL R3
"24606","9540",S19,MANT. PARQUES Y ZONAS VERDES
"24607","9540",S20,LIMPIEZA DE VIAS
"24608","9541",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24609","9541",S19,MANT. PARQUES Y ZONAS VERDES
"24610","9541",S20,LIMPIEZA DE VIAS
"24611","9541",S10,BASURA RESIDENCIAL R2
"24612","9542",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24613","9542",S11,BASURA RESIDENCIAL R3
"24614","9542",S19,MANT. PARQUES Y ZONAS VERDES
"24615","9542",S20,LIMPIEZA DE VIAS
"24616","9543",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24617","9544",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24618","9544",S11,BASURA RESIDENCIAL R3
"24619","9544",S19,MANT. PARQUES Y ZONAS VERDES
"24620","9544",S20,LIMPIEZA DE VIAS
"24621","9545",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24622","9545",S11,BASURA RESIDENCIAL R3
"24623","9545",S19,MANT. PARQUES Y ZONAS VERDES
"24624","9545",S20,LIMPIEZA DE VIAS
"24625","9546",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24626","9546",S11,BASURA RESIDENCIAL R3
"24627","9546",S19,MANT. PARQUES Y ZONAS VERDES
"24628","9546",S20,LIMPIEZA DE VIAS
"24637","9549",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24638","9550",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24639","9550",S11,BASURA RESIDENCIAL R3
"24640","9550",S19,MANT. PARQUES Y ZONAS VERDES
"24641","9550",S20,LIMPIEZA DE VIAS
"24642","9551",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24643","9551",S11,BASURA RESIDENCIAL R3
"24644","9551",S19,MANT. PARQUES Y ZONAS VERDES
"24645","9551",S20,LIMPIEZA DE VIAS
"24646","9553",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24647","9553",S19,MANT. PARQUES Y ZONAS VERDES
"24648","9553",S20,LIMPIEZA DE VIAS
"24649","9553",S11,BASURA RESIDENCIAL R3
"24650","9554",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24651","9554",S11,BASURA RESIDENCIAL R3
"24652","9554",S19,MANT. PARQUES Y ZONAS VERDES
"24653","9554",S20,LIMPIEZA DE VIAS
"24654","9555",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24655","9555",S11,BASURA RESIDENCIAL R3
"24656","9555",S19,MANT. PARQUES Y ZONAS VERDES
"24657","9555",S20,LIMPIEZA DE VIAS
"24658","9557",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24659","9557",S11,BASURA RESIDENCIAL R3
"24660","9557",S19,MANT. PARQUES Y ZONAS VERDES
"24661","9557",S20,LIMPIEZA DE VIAS
"24662","9558",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24663","9558",S11,BASURA RESIDENCIAL R3
"24664","9558",S19,MANT. PARQUES Y ZONAS VERDES
"24665","9558",S20,LIMPIEZA DE VIAS
"24666","9559",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24667","9559",S11,BASURA RESIDENCIAL R3
"24668","9559",S19,MANT. PARQUES Y ZONAS VERDES
"24669","9559",S20,LIMPIEZA DE VIAS
"24670","9560",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24671","9560",S11,BASURA RESIDENCIAL R3
"24672","9560",S19,MANT. PARQUES Y ZONAS VERDES
"24673","9560",S20,LIMPIEZA DE VIAS
"24674","9561",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24675","9561",S11,BASURA RESIDENCIAL R3
"24676","9561",S19,MANT. PARQUES Y ZONAS VERDES
"24677","9561",S20,LIMPIEZA DE VIAS
"24678","9563",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24679","9563",S11,BASURA RESIDENCIAL R3
"24680","9563",S19,MANT. PARQUES Y ZONAS VERDES
"24681","9563",S20,LIMPIEZA DE VIAS
"24682","9564",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24683","9564",S11,BASURA RESIDENCIAL R3
"24684","9564",S20,LIMPIEZA DE VIAS
"24685","9564",S19,MANT. PARQUES Y ZONAS VERDES
"24686","9566",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24687","9566",S11,BASURA RESIDENCIAL R3
"24688","9566",S13,BASURA COMERCIAL C1
"24689","9566",S19,MANT. PARQUES Y ZONAS VERDES
"24690","9566",S20,LIMPIEZA DE VIAS
"24691","9567",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24692","9567",S11,BASURA RESIDENCIAL R3
"24693","9567",S19,MANT. PARQUES Y ZONAS VERDES
"24694","9567",S20,LIMPIEZA DE VIAS
"24695","9568",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24696","9568",S11,BASURA RESIDENCIAL R3
"24697","9568",S19,MANT. PARQUES Y ZONAS VERDES
"24698","9568",S20,LIMPIEZA DE VIAS
"24699","9569",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24700","9569",S11,BASURA RESIDENCIAL R3
"24701","9569",S19,MANT. PARQUES Y ZONAS VERDES
"24702","9569",S20,LIMPIEZA DE VIAS
"24703","9570",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24704","9570",S11,BASURA RESIDENCIAL R3
"24705","9570",S19,MANT. PARQUES Y ZONAS VERDES
"24706","9570",S20,LIMPIEZA DE VIAS
"24707","9571",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24708","9571",S11,BASURA RESIDENCIAL R3
"24709","9571",S19,MANT. PARQUES Y ZONAS VERDES
"24710","9571",S20,LIMPIEZA DE VIAS
"24711","9572",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24712","9572",S11,BASURA RESIDENCIAL R3
"24713","9572",S20,LIMPIEZA DE VIAS
"24714","9572",S19,MANT. PARQUES Y ZONAS VERDES
"24715","9573",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24716","9573",S11,BASURA RESIDENCIAL R3
"24717","9573",S20,LIMPIEZA DE VIAS
"24718","9573",S19,MANT. PARQUES Y ZONAS VERDES
"24719","9574",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24720","9574",S11,BASURA RESIDENCIAL R3
"24721","9574",S19,MANT. PARQUES Y ZONAS VERDES
"24722","9574",S20,LIMPIEZA DE VIAS
"24723","9575",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24724","9575",S11,BASURA RESIDENCIAL R3
"24725","9575",S19,MANT. PARQUES Y ZONAS VERDES
"24726","9575",S20,LIMPIEZA DE VIAS
"24727","9576",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24728","9576",S19,MANT. PARQUES Y ZONAS VERDES
"24729","9576",S20,LIMPIEZA DE VIAS
"24730","9576",S11,BASURA RESIDENCIAL R3
"24731","9578",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24732","9578",S11,BASURA RESIDENCIAL R3
